firearm_type,price,link,stock_status
"MOSSBERG 702 PLINKSTER 22LR 18"" 10RD BLACK/SYN",$129.95,https://shop2.gzanders.com/firearms/mossberg-702-plinkster-22lr-18-10rd-black-syn-g37072.html,ADD TO CART
CRICKETT PISTOL .22LR BLUED/BLACK SYNTHETIC,$129.95,https://shop2.gzanders.com/firearms/crickett-pistol-22lr-blued-black-synthetic.html,ADD TO CART
"CHARLES DALY 101 SHOTGUN .410 3"" 20"" CAMO",Special Price $132.95,https://shop2.gzanders.com/firearms/charles-daly-101-shotgun-410-3-20-camo-g930321.html,ADD TO CART
"HERITAGE 22LR 6.5"" FS BLUED WOOD GRIPS",$134.95,https://shop2.gzanders.com/firearms/heritage-22lr-6-5-fs-blued-wood-grips-grr22b6wrn14.html,ADD TO CART
"HERITAGE 22LR 4.75"" FS BLUED WOOD GRIPS",$134.95,https://shop2.gzanders.com/firearms/heritage-22lr-4-75-fs-blued-wood-grips-grr22b4wrn14.html,ADD TO CART
"HERITAGE BARKEEP .22LR FS 2"" BLK WOOD GRIP",$134.95,https://shop2.gzanders.com/firearms/heritage-barkeep-22lr-fs-2-blk-wood-grip-gbk22b2wrn14.html,ADD TO CART
"HERITAGE 22LR 6.5"" FS BLUED DEAD MANS HAND",$134.95,https://shop2.gzanders.com/firearms/heritage-22lr-6-5-fs-blued-dead-mans-hand-grr22b6dmh.html,ADD TO CART
"HERITAGE 22LR 4.75"" FS BLACK DEAD MANS HAND",$134.95,https://shop2.gzanders.com/firearms/heritage-22lr-4-75-fs-black-dead-mans-hand-grr22b4dmh.html,ADD TO CART
IRON CITY HATCHET AR15 BILLET LOWER RECEIVER STRIPPED,$135.99,https://shop2.gzanders.com/firearms/iron-city-hatchet-ar15-billet-lower-receiver-stripped-gichlrmul.html,ADD TO CART
CRICKETT PISTOL .22WMR BLUED/BLACK SYNTHETIC,$136.85,https://shop2.gzanders.com/firearms/crickett-pistol-22wmr-blued-black-synthetic.html,ADD TO CART
"ROSSI RB22 .22LR RIFLE BOLT 18"" MATTE SYNTHETIC",$137.23,https://shop2.gzanders.com/catalog/product/view/id/49550/s/rossi-rb22-22lr-rifle-bolt-18-matte-synthetic/category/520/,BACK ORDER
"ROSSI TUFFY .410 3"" 18.5"" MOD. BLK/TAN THUMBHOLE SYNTHETIC",$137.95,https://shop2.gzanders.com/firearms/rossi-tuffy-410-3-18-5-blk-tan-thumbhole-synthetic.html,ADD TO CART
"ROSSI TUFFY .410 3"" 18.5"" MOD. BLK/GREEN THUMBHOLE SYNTHETIC",$137.95,https://shop2.gzanders.com/firearms/rossi-tuffy-410-3-18-5-blk-green-thumbhole-synthetic.html,ADD TO CART
"ROSSI TUFFY .410 3"" 18.5"" MOD. BLK/GRAY THUMBHOLE SYNTHETIC",$137.95,https://shop2.gzanders.com/firearms/rossi-tuffy-410-3-18-5-blk-gray-thumbhole-synthetic-1.html,ADD TO CART
"ROSSI TUFFY .410 3"" 18.5"" MOD. BLK/BLACK THUMBHOLE SYNTHETIC",$137.95,https://shop2.gzanders.com/firearms/rossi-tuffy-410-3-18-5-blk-black-thumbhole-synthetic.html,ADD TO CART
"ROCK ISLAND M20P RIFLE .22LR 21"" TB 10RD PARKERIZED",$137.95,https://shop2.gzanders.com/firearms/armscor-m20p-rifle-22lr-10rd-parkerized.html,ADD TO CART
"HERITAGE .22LR 6"" FS BLUED COPPERHEAD GRIPS (TALO)",$139.00,https://shop2.gzanders.com/firearms/heritage-22lr-6-fs-blued-copperhead-grips-talo-grr22b6snk3.html,ADD TO CART
"HERITAGE BARKEEP .22LR FS 3"" USA FLAG GRIP",Special Price $139.95,https://shop2.gzanders.com/firearms/heritage-barkeep-22lr-fs-3-usa-flag-grip-gbk22ch3usflag.html,ADD TO CART
"HERITAGE BARKEEP .22LR FS 2"" USA FLAG GRIP",Regular Price $149.95,https://shop2.gzanders.com/firearms/heritage-barkeep-22lr-fs-2-usa-flag-grip-gbk22ch2usflag.html,ADD TO CART
"IVER JOHNSON 700 .410 3"" 24"" MC4 W/RAIL BLACK SYNTHETIC",$139.95,https://shop2.gzanders.com/firearms/iver-johnson-turkey-410-3-24-mc4-w-rail-black-synthetic-gij70041024sr.html,BACK ORDER
"IVER JOHNSON 700 20GA. 3"" 24"" MC4 W/RAIL BLACK SYNTHETIC",$139.95,https://shop2.gzanders.com/firearms/iver-johnson-turkey-20ga-3-24-mc4-w-rail-black-synthetic-gij7002024sr.html,ADD TO CART
"MIDLAND BACKPACK .22LR 16.5"" SINGLE BARREL BLACK STOCK",$139.95,https://shop2.gzanders.com/firearms/midland-backpack-22lr-16-5-single-barrel-black-stock.html,BACK ORDER
CRICKETT RIFLE G2 .22LR BLUED/PURPLE,$141.50,https://shop2.gzanders.com/firearms/crickett-rifle-g2-22lr-blued-purple.html,ADD TO CART
CRICKETT RIFLE G2 .22LR BLUED/BLUE,$141.50,https://shop2.gzanders.com/firearms/crickett-rifle-g2-22lr-blued-blue.html,ADD TO CART
CRICKETT RIFLE G2 .22LR BLUED/BLACK SYNTHETIC,$141.50,https://shop2.gzanders.com/firearms/crickett-rifle-g2-22lr-blued-black-synthetic.html,ADD TO CART
CRICKETT RIFLE G2 .22LR BLUED/DESERT TAN,$141.50,https://shop2.gzanders.com/firearms/crickett-rifle-g2-22lr-blued-desert-tan.html,BACK ORDER
CRICKETT RIFLE G2 .22LR BLUED/PINK SYNTHETIC,$141.50,https://shop2.gzanders.com/firearms/crickett-rifle-g2-22lr-blued-pink-synthetic.html,ADD TO CART
JACOB GREY AR15 JG15 BILLET UPPER RECEIVER BLK!,$141.95,https://shop2.gzanders.com/firearms/jacob-grey-ar15-jg15-billet-upper-receiver-blk-jg94036.html,ADD TO CART
"CHIAPPA 1873 SAA .22LR 4.75"" FS 6RD BLACK MATTE",$143.95,https://shop2.gzanders.com/catalog/product/view/id/33719/s/chiappa-1873-saa-22lr-4-75-fs-6rd-black-matte/category/520/,BACK ORDER
HI-POINT PISTOL CF380 .380ACP W/COMPENSATOR 1-10RD/1-8RD MAG,$144.00,https://shop2.gzanders.com/catalog/product/view/id/25701/s/hi-point-pistol-cf380-380acp-w-compensator-1-10rd-1-8rd-mag/category/520/,BACK ORDER
"HERITAGE BARKEEP BOOT .22LR 1"" BLACK WOOD GRIP",Special Price $144.95,https://shop2.gzanders.com/firearms/heritage-barkeep-boot-22lr-1-black-wood-grip-gbk22b1bhbd.html,ADD TO CART
"HERITAGE BARKEEP .22LR FS 2"" BLK GRAY PEARL GRIP",Regular Price $151.95,https://shop2.gzanders.com/firearms/heritage-barkeep-22lr-fs-2-blk-gray-pearl-grip-gbk22b2gprl.html,ADD TO CART
ANDERSON COMPLETE AR-15 LOWER RECEIVER BLACK,Special Price $144.95,https://shop2.gzanders.com/catalog/product/view/id/50557/s/anderson-complete-ar-15-lower-receiver-5-56-black/category/520/,BACK ORDER
"HERITAGE .22LR/WMR COMBO 6.5"" BLUED COCOBOLO GRIPS",Regular Price $155.99,https://shop2.gzanders.com/catalog/product/view/id/7260/s/heritage-22lr-wmr-combo-6-5-blued-cocobolo-grips/category/520/,ADD TO CART
"HERITAGE 22LR/WMR COMBO 4.75"" BLUED COCOBOLO BIRDSHEAD GRIPS",Special Price $144.95,https://shop2.gzanders.com/catalog/product/view/id/7259/s/heritage-22lr-wmr-combo-4-75-blued-cocobolo-birdshead-grips/category/520/,ADD TO CART
"HERITAGE .22LR/WMR COMBO 4.75"" BLUED COCOBOLO GRIPS",Regular Price $151.95,https://shop2.gzanders.com/firearms/heritage-22lr-wmr-combo-4-75-blued-cocobolo-grips.html,ADD TO CART
"HERITAGE BARKEEP .22LR FS 2"" WOOD GRIP",$145.95,https://shop2.gzanders.com/firearms/heritage-barkeep-22lr-fs-2-wood-grip-gbk22ch2wbrn10.html,ADD TO CART
GREY GHOST PREC COMBAT PISTOL STRIPPED FULL SIZE FRAME FDE,$147.85,https://shop2.gzanders.com/firearms/grey-ghost-prec-combat-pistol-stripped-full-size-frame-fde.html,ADD TO CART
GREY GHOST PREC COMBAT PISTOL STRIPPED FRAME FDE,$147.85,https://shop2.gzanders.com/firearms/grey-ghost-prec-combat-pistol-stripped-frame-fde.html,ADD TO CART
GREY GHOST PREC COMBAT PISTOL STRIPPED FULL SIZE FRAME COBLT,$147.85,https://shop2.gzanders.com/firearms/grey-ghost-prec-combat-pistol-stripped-full-size-frame-coblt.html,ADD TO CART
GREY GHOST PREC COMBAT PISTOL STRIPPED FULL SIZE FRAME BLACK,$147.85,https://shop2.gzanders.com/firearms/grey-ghost-prec-combat-pistol-stripped-full-size-frame-black.html,ADD TO CART
GREY GHOST PREC COMBAT PISTOL STRIPPED FRAME COBALT,$147.85,https://shop2.gzanders.com/firearms/grey-ghost-prec-combat-pistol-stripped-frame-cobalt.html,ADD TO CART
GREY GHOST PREC COMBAT PISTOL STRIPPED FRAME BLACK,$147.85,https://shop2.gzanders.com/firearms/grey-ghost-prec-combat-pistol-stripped-frame-black.html,ADD TO CART
"CIMARRON PLINKERTON .22LR FS 4.75"" BLUED PLASTIC",$148.03,https://shop2.gzanders.com/firearms/cimarron-plinkerton-22lr-fs-4-75-blued-plastic.html,ADD TO CART
HI-POINT PISTOL CF380 .380ACP AS 2-TONE POLYMER FRAME,$148.80,https://shop2.gzanders.com/firearms/hi-point-pistol-cf380-380acp-as-2-tone-polymer-frame.html,ADD TO CART
"HERITAGE .22LR 6"" FS BLUED GRAY PEARL GRIPS",$149.90,https://shop2.gzanders.com/firearms/heritage-22lr-6-fs-blued-gray-pearl-grips-grr22b6gprl.html,ADD TO CART
"HERITAGE BARKEEP BOOT .22LR 1"" BLACK WOOD SNAKE GRIP",$149.95,https://shop2.gzanders.com/firearms/heritage-barkeep-boot-22lr-1-black-wood-snake-grip-gbk22b1bhwbrn2.html,BACK ORDER
"HERITAGE BARKEEP BOOT .22LR 1"" BLACK GRAY PERAL GRIP",$149.95,https://shop2.gzanders.com/firearms/heritage-barkeep-boot-22lr-1-black-gray-peral-grip-gbk22b1bhgprl.html,ADD TO CART
"ATI SGP DF12 PUMP 12GA. 3"" 18.5"" BLACK SYNTHETIC",$149.95,https://shop2.gzanders.com/firearms/ati-sgp-df12-pump-shotgun-12ga-18-5-bbl-3-black.html,Out Of Stock
