brand,model,price,link,stock_status,vendor
CHARTER,"UC LITE 38SPL 2"" REV ALUM",$303.00,https://www.orionfflsales.com/product/5605/charter-uc-lite-38spl-2-rev-alum,7,Orion
CHARTER,"UC 38SPL 2"" REV BLK HMRLS",$270.00,https://www.orionfflsales.com/product/5599/charter-uc-38spl-2-rev-blk-hmrls,OUT OF STOCK,Orion
STAINLESS,LW 1911 9MM ACP 8RD MAG,$678.00,https://www.orionfflsales.com/product/5590/stainless-lw-1911-9mm-acp-8rd-mag,OUT OF STOCK,Orion
dMGNM,RSRCH DE50TU 50AE PSTL TUNGSTN,$1639.00,https://www.orionfflsales.com/product/5514/dmgnm-rsrch-de50tu-50ae-pstl-tungstn,OUT OF STOCK,Orion
MGNM,RSRCH DE50SRMB 50AE PSTL STS,$1849.00,https://www.orionfflsales.com/product/5513/mgnm-rsrch-de50srmb-50ae-pstl-sts,OUT OF STOCK,Orion
MGNM,RSRCH DE50 50AE PSTL PLSH CHRM,$1915.00,https://www.orionfflsales.com/product/5511/mgnm-rsrch-de50-50ae-pstl-plsh-chrm,OUT OF STOCK,Orion
MAGN,RESEARCH DE50IMB 50AE PSTL BLK,$1503.00,https://www.orionfflsales.com/product/5510/magn-research-de50imb-50ae-pstl-blk,OUT OF STOCK,Orion
MGNM,RSRCH DE50 50AE PSTL BRS CHRM,$1778.00,https://www.orionfflsales.com/product/5509/mgnm-rsrch-de50-50ae-pstl-brs-chrm,OUT OF STOCK,Orion
MGNM,RSRCH DE50BB 50AE PSTL BRONZE,$1537.00,https://www.orionfflsales.com/product/5508/mgnm-rsrch-de50bb-50ae-pstl-bronze,OUT OF STOCK,Orion
MAGNUM,RESEARCH DE50 50AE PSTL STLS,$1956.00,https://www.orionfflsales.com/product/5507/magnum-research-de50-50ae-pstl-stls,OUT OF STOCK,Orion
MGNM,RSRCH DE44SRMB 44MAG PSTL STS,$1849.00,https://www.orionfflsales.com/product/5503/mgnm-rsrch-de44srmb-44mag-pstl-sts,OUT OF STOCK,Orion
MGNM,RSRCH DE44 44MG PSTL PLSH CHRM,$1878.00,https://www.orionfflsales.com/product/5502/mgnm-rsrch-de44-44mg-pstl-plsh-chrm,OUT OF STOCK,Orion
MAGNUM,RESEARCH DE44 44MG PSTL BLK,$1704.00,https://www.orionfflsales.com/product/5501/magnum-research-de44-44mg-pstl-blk,OUT OF STOCK,Orion
MGNM,RSRCH DE44 44MAG PSTL BRS CHRM,$1742.00,https://www.orionfflsales.com/product/5499/mgnm-rsrch-de44-44mag-pstl-brs-chrm,OUT OF STOCK,Orion
MAGNUM,RESEARCH DE44 44MG PSTL BLK,$1412.00,https://www.orionfflsales.com/product/5497/magnum-research-de44-44mg-pstl-blk,OUT OF STOCK,Orion
