brand,model,price,link,stock_status,vendor
Franklin,"Armory BFSIII Equipped M4 Rifle - Black | 5.56NATO | 16"" Barrel | Installed BSFIII Trigger",$919.99,https://www.2ndamendmentwholesale.com/franklin-armory-bfsiii-equipped-m4-rifle-black-5-56nato-16-barrel-installed-bsfiii-trigger,In Stock,Second Amendment Wholesale
Zastava,"ZPAP85 Alpha AK-47 Pistol BULGED TRUNNION 1.5MM RECEIVER - Stained Wood Handguard | 5.56NATO | 10"" Barrel | Booster Brake | Rear Trunnion Picatinny rail",$874.99,https://www.2ndamendmentwholesale.com/zastava-zpap85-alpha-ak-47-pistol-bulged-trunnion-1-5-mm-receiver-stained-wood-handguard-5-56nato-10-barrel-booster-brake-rear-trunnion-picatinny-rail,In Stock,Second Amendment Wholesale
Century,"Arms VSKA Draco AK-47 Pistol - Maple | 7.62x39 | 10.5"" Barrel | Loudmouth Break | U.S Palm Grip & Mag",$699.99,https://www.2ndamendmentwholesale.com/century-arms-vska-ak-47-pistol-maple-7-62x39-10-5-barrel-loudmouth-break-u-s-palm-grip-mag,In Stock,Second Amendment Wholesale
ATI,"OMNI HYBRID MAXX P3P AR Rifle - FDE | 5.56 NATO | 16"" barrel | 10"" M-LOK",$399.99,https://www.2ndamendmentwholesale.com/ati-omni-hybrid-maxx-p3p-ar-rifle-fde-5-56-nato-16-barrel-10-m-lok,In Stock,Second Amendment Wholesale
Franklin,"Armory CA7 CADOJ APPROVED AR PISTOL - Black | 5.56NATO | 7.5"" Barrel | Detachable 10rd Mag",$778.99,https://www.2ndamendmentwholesale.com/franklin-armory-ca7tm-cadoj-approved-ar-pistol-black-5-56nato-7-5-barrel-detachable-10rd-mag,In Stock,Second Amendment Wholesale
Battle,"Arms Development Forged WORKHORSE AR15 Pistol - Black | 5.56NATO | 10.5"" Barrel | 9.5"" M-LOK Free-Float Rail | Mil-Spec Charging Handle | Nickel Teflon Trigger | Gear Head MOD2 Pistol Brace",$999.99,https://www.2ndamendmentwholesale.com/battle-arms-development-workhorse-pistol-black,In Stock,Second Amendment Wholesale
Kalashnikov,"USA KP-9 AK Pistol - Black | 9mm | 9.25"" Barrel",$827.88,https://www.2ndamendmentwholesale.com/kalashnikov-usa-kp-9-ak-pistol-black-9mm-9-25-barrel,In Stock,Second Amendment Wholesale
FACTORY,"BLEM - KE Arms KE-15 Forged Complete AR15 Lower - Black | M4 Buttstock | BLEMISHED, sold As-Is NO RETURNS",$169.99,https://www.2ndamendmentwholesale.com/factory-blem-ke-arms-ke-15-forged-complete-ar15-lower-black-m4-buttstock-blemished-sold-as-is-no-returns,In Stock,Second Amendment Wholesale
ATI,"GSG FIREFLY Pistol - Black | .22LR | 4.9"" Threaded Barrel",$209.95,https://www.2ndamendmentwholesale.com/ati-gsg-firefly-pistol-black-22lr-4-9-threaded-barrel-20,In Stock,Second Amendment Wholesale
Taurus,"G3C Compact Pistol - Black | 9mm | 3.2"" Barrel | 12rd",$229.99,https://www.2ndamendmentwholesale.com/taurus-g3c-compact-pistol-black-3-2-barrel-12rd,In Stock,Second Amendment Wholesale
