firearm_type,price,link,stock_status
"Diamondback Diamond DB15 AR Rifle - Black | 5.56NATO | 16"" Barrel | 15"" M-LOK Anti Rotation (S Rail) | Magpul K2 Grip | Magpul ACS-L Stock | DB CNC Muzzle Brake | CMC 3.5 LB Single Stage Trigger",$749.99,https://www.2ndamendmentwholesale.com/diamondback-diamond-db15-ar-rifle-black-5-56nato-16-barrel-15-m-lok-anti-rotation-s-rail-magpul-k2-grip-magpul-acs-l-stock-db-cnc-muzzle-brake-cmc-3-5-lb-single-stage-trigger,Add To Cart
"Pioneer Arms Sporter AK-47 Rifle - Black | 7.62x39 | 16"" Barrel | 30rd | G-2 Style No Slap Trigger | Medieval Castle Style Muzzle Brake",$599.99,https://www.2ndamendmentwholesale.com/pioneer-arms-sporter-ak-47-rifle-black-7-62x39-16-barrel-30rd-g-2-style-no-slap-trigger-medieval-castle-style-muzzle-brake,Add To Cart
"Armsco BULLIE-12 Bullpup Semi-Auto Shotgun - Black | 12ga | 20"" Barrel | Synthetic Furniture",$349.99,https://www.2ndamendmentwholesale.com/armsco-bullie-12-bullpup-semi-auto-shotgun-black-12ga-20-barrel-synthetic-furniture,Add To Cart
"Masterpiece Arms Pistol - Black | 9mm | 6"" Threaded Barrel | 30rd | W/ Barrel Extension | Grim Reaper Cerakote Design",$469.99,https://www.2ndamendmentwholesale.com/masterpiece-arms-pistol-black-9mm-6-threaded-barrel-30rd-w-barrel-extension-grim-reaper-cerakote-design,Add To Cart
"Brigade MFG BM-9 Forged Aluminum AR Pistol - FDE | 9mm | 5.5"" Barrel | 5"" U-LOC Rail | Faux Can | KAK Blade",$619.99,https://www.2ndamendmentwholesale.com/brigade-mfg-bm-9-forged-aluminum-ar-pistol-fde-9mm-5-5-barrel-5-u-loc-rail-faux-can-kak-blade,Add To Cart
"Black Aces Tactical Pro Series M Semi-Auto Shotgun - Black | 12ga | 18.5"" Barrel | KIT - ASSEMBLY REQUIRED",$299.99,https://www.2ndamendmentwholesale.com/black-aces-tactical-pro-series-m-semi-auto-shotgun-black-12ga-18-5-barrel-kit-assembly-required,Add To Cart
"ATI GSG-16 Carbine - Black | .22LR | 16.25"" Barrel | 22rd | Faux Suppressor",$299.95,https://www.2ndamendmentwholesale.com/ati-gsg-16-carbine-black-22lr-16-25-barrel-22rd-faux-suppressor,Add To Cart
"CZ Scorpion EVO 3 S1 Pistol - Black | 9mm | 7.75"" Barrel | 10rd",$779.99,https://www.2ndamendmentwholesale.com/cz-scorpion-evo-3-s1-pistol-black-9mm-7-75-barrel-10rd,Add To Cart
"CZ Scorpion EVO 3 S1 Pistol - OD Green | 9mm | 7.72"" Barrel | 20rd",$999.99,https://www.2ndamendmentwholesale.com/cz-scorpion-evo-3-s1-pistol-od-green-9mm-7-72-barrel-20rd,Add To Cart
"Masterpiece Arms Pistol - Black | 9mm | 6"" Threaded Barrel | 30rd | W/ Barrel Extension",$469.99,https://www.2ndamendmentwholesale.com/masterpiece-arms-pistol-black-9mm-6-threaded-barrel-17rd-w-barrel-extension,Add To Cart
"Kalashnikov USA California Compliant KR-9 AK Rifle - Black | 9mm | 16.25"" Barrel w/ Faux Suppressor Barrel Shroud | Fixed Triangle Stock | CA Legal Featureless w/ Fin & Thumb Rest",$949.99,https://www.2ndamendmentwholesale.com/kalashnikov-usa-california-compliant-kr-9-ak-rifle-black-9mm-16-25-barrel-w-faux-supressor-barrel-shroud-fixed-triangle-stock-ca-legal-featureless-w-fin-thumb-rest,Add To Cart
"Steyr Arms AUG A3 M1 Rifle - White | .223 Remington | 16"" CHF Barrel","$1,714.00",https://www.2ndamendmentwholesale.com/steyr-arms-aug-a3-m1-rifle-white-223-remington-16-chf-barrel,Add To Cart
"FACTORY BLEM - Bushmaster XM15-E2S Forged Stripped AR15 Lower Receiver - Black | BLEMISHED, sold As-Is NO RETURNS",$69.99,https://www.2ndamendmentwholesale.com/factory-blem-bushmaster-xm15-e2s-forged-stripped-ar15-lower-receiver-black-blemished-sold-as-is-no-returns,Add To Cart
UTAS XTR-12 Semi-Auto 12ga Shotgun - Black | 5rd mag,$599.99,https://www.2ndamendmentwholesale.com/utas-xtr-12-semi-auto-12ga-shotgun-black-5rd-mag,Add To Cart
